category,term,description,source
편성,용병 슬롯,보조슬롯 제외 최대 10명 고용 · 그중 1명을 리더로 지정,namuwiki
편성,스킬 수,용병 1명당 서로 다른 스킬 5개 보유,kbk518
편성,등급,E · D · C · B · S · G · X (X가 최상위로 추정),namuwiki
공격타입,물리,하늘색 대미지 · 높은 깡뎀 기반,namuwiki
공격타입,마법,핑크색 대미지 · 높은 저항감소 기반,namuwiki
공격타입,혼합,보라색 대미지 · 물리 50% + 마법 50%,namuwiki
공격타입,카오스,초록색 대미지 · 저항력 무시 · 깡딜은 최하위,namuwiki
스탯,강타,일반 공격의 크리티컬 · 확률과 배수가 독립적으로 운영됨,namuwiki
스탯,강타확률(강확),강타 발동 확률,namuwiki
스탯,강타배수(강배),강타 발동 시 추가 대미지 배수,namuwiki
스탯,연타,공격쿨다운이 아니라 연타딜레이의 영향을 받는 공격,namuwiki
스탯,연타확률,100%로 맞추면 0.3초(최소 0.228초) 간격으로 공격,namuwiki
스탯,물깎/마깎,물리·마법 저항력 감소 · 몬스터 저항력에서 감소치를 뺀 잉여분만큼 곱연산 대미지,namuwiki
스탯,골드 획득량(골획),골드 획득량 증가,namuwiki
스탯,골드 저장량(골저),보관하지 않을 때 들 수 있는 최대치,namuwiki
스킬,소울번,현재 체력 비례(%) 대미지,namuwiki
스킬,집중공격,공격 쿨타임 감소,namuwiki
스킬,힐,마이너스 대미지로 회복 · 뉴젤다(카오스)와 징크스만 사용 가능,namuwiki
덱,강타덱,강타 확률·배수 스킬 용병을 리더로 · 리더의 연타확률과 강확/강배를 조정,namuwiki
덱,연타덱,연타확률을 100%로 맞춰 고속 공격 · 연타 용병에는 대체로 피격 지속시간 감소 스킬이 붙음,namuwiki
덱,클릭덱,순수 클릭 전용 덱은 사실상 없음 · 자동클릭(자클)/추가클릭(추클) 병용,namuwiki
덱,속성덱,물덱/마덱/혼덱/카덱으로 나뉘며 각각 다른 저항감소 전략 사용,namuwiki
진행,환생,특정 스테이지 도달 시 환생 가능 · 반복하며 점진적으로 강해짐,namuwiki
