set_label,set_number,set_stage,set_mutator,patch,champion_api_name,champion_name,ability_name,variable_name,star1_3,idx0,idx1,idx2,idx3,idx4,idx5,idx6
Set 1,1,base,Set1,9.21,Aatrox,Aatrox,The Darkin Blade,Damage,300/600/900,0,300,600,900,1200,1500,1800
Set 1,1,base,Set1,9.21,Ahri,Ahri,Orb of Deception,Damage,100/200/300,50,100,200,300,400,500,475
Set 1,1,base,Set1,9.21,Ahri,Ahri,Orb of Deception,HexRange,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Akali,Akali,Five Point Strike,ConeDeg,30,30,30,30,30,30,30,30
Set 1,1,base,Set1,9.21,Akali,Akali,Five Point Strike,Damage,200/350/500,50,200,350,500,650,800,950
Set 1,1,base,Set1,9.21,Akali,Akali,Five Point Strike,HexRange,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Anivia,Anivia,Glacial Storm,AttackSpeedSlow,50/70/90,30,50,70,90,110,130,150
Set 1,1,base,Set1,9.21,Anivia,Anivia,Glacial Storm,StormDuration,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Anivia,Anivia,Glacial Storm,TotalDamage,800/1100/1400,500,800,1100,1400,1700,2000,2300
Set 1,1,base,Set1,9.21,Ashe,Ashe,Enchanted Crystal Arrow,Damage,200/400/600,0,200,400,600,800,1000,1200
Set 1,1,base,Set1,9.21,Ashe,Ashe,Enchanted Crystal Arrow,StunDurationPerSquare,1/1.5/2,0.5,1,1.5,2,2.5,3,3.5
Set 1,1,base,Set1,9.21,Aurelion Sol,Aurelion Sol,Voice of Light,Damage,250/500/750,50,250,500,750,1000,1250,1500
Set 1,1,base,Set1,9.21,Aurelion Sol,Aurelion Sol,Voice of Light,HexRange,8,8,8,8,8,8,8,8
Set 1,1,base,Set1,9.21,Blitzcrank,Blitzcrank,Rocket Grab,Damage,250/550/850,-50,250,550,850,1150,1450,1750
Set 1,1,base,Set1,9.21,Blitzcrank,Blitzcrank,Rocket Grab,StunDuration,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Set 1,1,base,Set1,9.21,Brand,Brand,Pyroclasm,Damage,250/450/650,50,250,450,650,850,1050,1250
Set 1,1,base,Set1,9.21,Brand,Brand,Pyroclasm,MaxBounces,4/6/20,4,4,6,20,20,20,20
Set 1,1,base,Set1,9.21,Braum,Braum,Unbreakable,ShieldDR,70/80/90,60,70,80,90,100,110,120
Set 1,1,base,Set1,9.21,Braum,Braum,Unbreakable,ShieldDuration,4,4,4,4,4,4,4,4
Set 1,1,base,Set1,9.21,Camille,Camille,The Hextech Ultimatum,Damage,200/325/450,75,200,325,450,575,700,825
Set 1,1,base,Set1,9.21,Camille,Camille,The Hextech Ultimatum,Duration,4/5/6,3,4,5,6,7,8,9
Set 1,1,base,Set1,9.21,Cho'Gath,Cho'Gath,Rupture,Damage,200/400/600,0,200,400,600,800,1000,1200
Set 1,1,base,Set1,9.21,Cho'Gath,Cho'Gath,Rupture,KnockDuration,1.5/1.75/2,1.25,1.5,1.75,2,2.25,2.5,2.75
Set 1,1,base,Set1,9.21,Cho'Gath,Cho'Gath,Rupture,RuptureDelay,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Darius,Darius,Decimate,Damage,150/200/250,100,150,200,250,300,350,400
Set 1,1,base,Set1,9.21,Darius,Darius,Decimate,Heal,100/150/200,50,100,150,200,250,300,350
Set 1,1,base,Set1,9.21,Darius,Darius,Decimate,HexRange,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Draven,Draven,Spinning Axes,ADMult,1.5/2/2.5,1,1.5,2,2.5,3,3.5,4
Set 1,1,base,Set1,9.21,Draven,Draven,Spinning Axes,ASBuff,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Draven,Draven,Spinning Axes,BuffDuration,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
Set 1,1,base,Set1,9.21,Elise,Elise,Spider Form,Lifesteal,0.6/0.9/1.2,0.3,0.6,0.9,1.2,1.5,1.8,2.1
Set 1,1,base,Set1,9.21,Elise,Elise,Spider Form,NumSpiderlings,1/2/4,1,1,2,4,5,6,7
Set 1,1,base,Set1,9.21,Elise,Elise,Spider Form,SpiderFormDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Evelynn,Evelynn,Last Caress,BlinkBackDistance,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Evelynn,Evelynn,Last Caress,CritMultiplier,3/4/5,2,3,4,5,6,7,8
Set 1,1,base,Set1,9.21,Evelynn,Evelynn,Last Caress,CritThreshold,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Evelynn,Evelynn,Last Caress,Damage,200/300/400,100,200,300,400,500,600,700
Set 1,1,base,Set1,9.21,Fiora,Fiora,Riposte,BlockDuration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Fiora,Fiora,Riposte,Damage,100/250/400,-50,100,250,400,550,700,850
Set 1,1,base,Set1,9.21,Fiora,Fiora,Riposte,StunDuration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Gangplank,Gangplank,Powder Kegs,Damage,150/250/350,50,150,250,350,450,550,650
Set 1,1,base,Set1,9.21,Garen,Garen,Judgement,DamagePerTick,40/65/90,15,40,65,90,115,140,165
Set 1,1,base,Set1,9.21,Garen,Garen,Judgement,ETotalTicks,9,9,9,9,9,9,9,9
Set 1,1,base,Set1,9.21,Garen,Garen,Judgement,SpinDuration,4,4,4,4,4,4,4,4
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,Damage,200/300/400,100,200,300,400,500,600,700
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,RCCDuration,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,RKnockbackDistance,500,500,500,500,500,500,500,500
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,TransformAD,50/100/150,0,50,100,150,200,250,300
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,TransformDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Gnar,Gnar,GNAR!,TransformHealth,250/450/650,50,250,450,650,850,1050,1250
Set 1,1,base,Set1,9.21,Graves,Graves,Buckshot,DamageMultiplier,0.05/0.1/0.15,0,0.05,0.1,0.15,0.2,0.25,0.3
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,AAMax,3/5/7,1,3,5,7,9,11,13
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,CCDuration,2.5/4.25/6,0.75,2.5,4.25,6,7.75,9.5,11.25
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,Damage,200/350/500,50,200,350,500,650,800,950
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,HexRange,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,KnockbackDistance,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,RangeIncrease,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Jayce,Jayce,Transform Mercury Cannon,TransformDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Jinx,Jinx,Get Excited!,AttackSpeedBonus,0.6/0.8/1,0.4,0.6,0.8,1,1.2,1.4,1.6
Set 1,1,base,Set1,9.21,Jinx,Jinx,Get Excited!,BuffDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Jinx,Jinx,Get Excited!,HitWindow,4,4,4,4,4,4,4,4
Set 1,1,base,Set1,9.21,Jinx,Jinx,Get Excited!,RocketDamage,100/200/300,0,100,200,300,400,500,600
Set 1,1,base,Set1,9.21,Kai'Sa,Kai'Sa,Killer Instinct,ASPercent,0.5/0.75/1,0.25,0.5,0.75,1,1.25,1.5,1.75
Set 1,1,base,Set1,9.21,Kai'Sa,Kai'Sa,Killer Instinct,Duration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Kai'Sa,Kai'Sa,Killer Instinct,ShieldAmount,400/700/1000,100,400,700,1000,1300,1600,1900
