set_label,set_number,set_stage,set_mutator,patch,champion_api_name,champion_name,cost,hp,damage,attack_speed,range,armor,magic_resist,mana,initial_mana,crit_chance,crit_multiplier
Set 1,1,base,Set1,9.21,Camille,Camille,1,550,55,0.6,1,30,20,125,75,0.25,1.5
Set 1,1,base,Set1,9.21,Darius,Darius,1,600,50,0.5,1,40,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Elise,Elise,1,500,45,0.6,2,20,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Fiora,Fiora,1,450,40,1,1,25,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Garen,Garen,1,600,50,0.6,1,40,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Graves,Graves,1,450,55,0.55,1,30,20,0,0,0.25,1.5
Set 1,1,base,Set1,9.21,Kassadin,Kassadin,1,550,40,0.55,1,35,20,0,0,0.25,1.5
Set 1,1,base,Set1,9.21,Kha'Zix,Kha'Zix,1,500,55,0.6,1,20,20,65,0,0.25,1.5
Set 1,1,base,Set1,9.21,Mordekaiser,Mordekaiser,1,550,50,0.5,1,40,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,1,500,50,0.65,3,20,20,85,0,0.25,1.5
Set 1,1,base,Set1,9.21,Tristana,Tristana,1,500,50,0.65,4,20,20,50,0,0.25,1.5
Set 1,1,base,Set1,9.21,Vayne,Vayne,1,550,40,0.7,3,25,20,0,0,0.25,1.5
Set 1,1,base,Set1,9.21,Warwick,Warwick,1,650,50,0.6,1,30,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Ahri,Ahri,2,450,50,0.55,3,20,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Blitzcrank,Blitzcrank,2,650,50,0.5,1,35,20,125,0,0.25,1.5
Set 1,1,base,Set1,9.21,Braum,Braum,2,650,40,0.6,1,75,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Jayce,Jayce,2,600,60,0.65,1,35,20,100,50,0.25,1.5
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,2,500,40,0.6,2,20,20,95,0,0.25,1.5
Set 1,1,base,Set1,9.21,Lucian,Lucian,2,600,65,0.65,3,25,20,35,0,0.25,1.5
Set 1,1,base,Set1,9.21,Lulu,Lulu,2,500,50,0.6,2,20,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Pyke,Pyke,2,600,60,0.6,1,25,20,125,50,0.25,1.5
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,2,650,50,0.6,1,20,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Shen,Shen,2,700,65,0.7,1,30,20,150,100,0.25,1.5
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,2,500,40,0.7,3,20,20,50,0,0.25,1.5
Set 1,1,base,Set1,9.21,Varus,Varus,2,500,60,0.7,4,25,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Zed,Zed,2,550,65,0.7,1,25,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Aatrox,Aatrox,3,700,65,0.65,1,35,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Ashe,Ashe,3,550,65,0.7,4,20,20,125,0,0.25,1.5
Set 1,1,base,Set1,9.21,Evelynn,Evelynn,3,550,70,0.6,1,20,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Gangplank,Gangplank,3,700,60,0.65,1,20,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Katarina,Katarina,3,450,65,0.65,1,20,20,85,0,0.25,1.5
Set 1,1,base,Set1,9.21,Kennen,Kennen,3,550,65,0.65,2,20,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Morgana,Morgana,3,650,50,0.6,2,30,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Poppy,Poppy,3,700,50,0.5,1,40,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Rengar,Rengar,3,550,70,0.6,1,20,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,3,650,50,0.7,1,30,20,85,0,0.25,1.5
Set 1,1,base,Set1,9.21,Veigar,Veigar,3,500,50,0.55,3,20,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Vi,Vi,3,700,60,0.65,1,25,20,150,75,0.25,1.5
Set 1,1,base,Set1,9.21,Volibear,Volibear,3,750,70,0.65,1,30,20,75,0,0.25,1.5
Set 1,1,base,Set1,9.21,Akali,Akali,4,650,80,0.8,1,20,20,25,0,0.25,1.5
Set 1,1,base,Set1,9.21,Aurelion Sol,Aurelion Sol,4,650,40,0.6,3,20,20,125,0,0.25,1.5
Set 1,1,base,Set1,9.21,Brand,Brand,4,700,60,0.6,3,25,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Cho'Gath,Cho'Gath,4,1000,70,0.6,1,20,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Draven,Draven,4,650,65,0.75,3,25,20,50,0,0.25,1.5
Set 1,1,base,Set1,9.21,Gnar,Gnar,4,700,50,0.7,2,30,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Jinx,Jinx,4,550,75,0.7,3,20,20,0,0,0.25,1.5
Set 1,1,base,Set1,9.21,Kindred,Kindred,4,600,60,0.7,3,20,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Leona,Leona,4,800,45,0.55,1,100,20,100,50,0.25,1.5
Set 1,1,base,Set1,9.21,Sejuani,Sejuani,4,800,45,0.55,1,40,20,150,50,0.25,1.5
Set 1,1,base,Set1,9.21,Anivia,Anivia,5,750,40,0.8,3,20,20,125,50,0.25,1.5
Set 1,1,base,Set1,9.21,Kai'Sa,Kai'Sa,5,700,55,1.25,2,20,20,125,50,0.25,1.5
Set 1,1,base,Set1,9.21,Karthus,Karthus,5,850,65,0.65,3,25,20,125,40,0.25,1.5
Set 1,1,base,Set1,9.21,Kayle,Kayle,5,750,70,1,3,40,20,125,50,0.25,1.5
Set 1,1,base,Set1,9.21,Miss Fortune,Miss Fortune,5,750,75,0.95,3,20,20,150,0,0.25,1.5
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,5,850,75,0.75,1,70,20,200,150,0.25,1.5
Set 1,1,base,Set1,9.21,Swain,Swain,5,850,65,0.65,2,25,20,100,0,0.25,1.5
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,5,750,75,1,1,35,20,25,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Diana,Diana,1,550,50,0.7,1,20,20,100,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Ivern,Ivern,1,600,50,0.6,2,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_KogMaw,Kog'Maw,1,500,45,0.7,4,20,20,40,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Leona,Leona,1,650,50,0.55,1,40,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Maokai,Maokai,1,650,55,0.5,1,35,20,0,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Nasus,Nasus,1,650,50,0.55,1,40,20,100,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Ornn,Ornn,1,650,50,0.55,1,40,20,75,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Renekton,Renekton,1,600,60,0.6,1,35,20,100,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Taliyah,Taliyah,1,500,40,0.65,3,20,20,80,30,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Vayne,Vayne,1,550,40,0.7,3,25,20,0,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Vladimir,Vladimir,1,550,40,0.65,2,30,20,75,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Warwick,Warwick,1,650,50,0.6,1,30,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Zyra,Zyra,1,500,40,0.65,3,20,20,65,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Braum,Braum,2,750,40,0.6,1,60,20,65,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Jax,Jax,2,700,55,0.8,1,30,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LeBlanc,LeBlanc,2,550,55,0.7,2,20,20,80,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Malzahar,Malzahar,2,550,40,0.65,3,20,20,125,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Neeko,Neeko,2,500,45,0.7,3,20,20,60,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_RekSai,Rek'Sai,2,650,60,0.7,1,35,20,75,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Senna,Senna,2,450,45,0.7,4,25,20,75,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Skarner,Skarner,2,650,60,0.65,1,35,20,65,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Syndra,Syndra,2,500,40,0.7,3,20,20,65,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Thresh,Thresh,2,700,55,0.55,2,40,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Varus,Varus,2,550,60,0.75,4,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Volibear,Volibear,2,650,60,0.7,1,35,20,75,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Yasuo,Yasuo,2,600,60,0.7,1,30,20,90,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Aatrox,Aatrox,3,800,65,0.7,1,35,20,70,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Azir,Azir,3,600,55,0.8,3,20,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_DrMundo,Dr. Mundo,3,800,60,0.6,1,35,20,125,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Ezreal,Ezreal,3,650,65,0.7,3,20,20,30,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Karma,Karma,3,600,50,0.7,3,20,20,100,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Kindred,Kindred,3,650,55,0.75,3,20,20,35,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Nautilus,Nautilus,3,850,55,0.6,1,40,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Nocturne,Nocturne,3,650,60,0.8,1,25,20,0,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Qiyana,Qiyana,3,650,65,0.7,1,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_QiyanaOcean,Qiyana,3,650,65,0.7,1,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_QiyanaInferno,Qiyana,3,650,65,0.7,1,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_QiyanaWoodland,Qiyana,3,650,65,0.7,1,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_QiyanaWind,Qiyana,3,650,65,0.7,1,25,20,100,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Sion,Sion,3,850,65,0.65,1,35,20,125,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Sivir,Sivir,3,600,55,0.7,3,25,20,65,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Soraka,Soraka,3,600,40,0.7,3,20,20,60,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Veigar,Veigar,3,600,50,0.6,3,20,20,60,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Annie,Annie,4,700,45,0.7,3,20,20,75,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Ashe,Ashe,4,550,60,0.8,4,20,20,35,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Brand,Brand,4,700,55,0.7,3,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Janna,Janna,4,600,45,0.7,3,20,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Khazix,Kha'Zix,4,750,75,0.8,1,25,20,40,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Lucian,Lucian,4,550,65,0.8,3,25,20,50,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Malphite,Malphite,4,850,60,0.55,1,50,20,150,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Olaf,Olaf,4,850,70,0.8,1,35,20,90,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Twitch,Twitch,4,650,70,0.75,4,20,20,70,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Yorick,Yorick,4,850,65,0.7,1,35,20,85,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Amumu,Amumu,5,900,55,0.75,1,60,20,150,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_MasterYi,Master Yi,5,850,70,1.1,1,30,20,150,100,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Nami,Nami,5,750,50,0.75,4,25,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Singed,Singed,5,950,0,0.001,1,50,20,0,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Taric,Taric,5,900,60,0.65,1,60,20,125,50,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_Zed,Zed,5,850,70,1.1,1,25,20,150,75,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxCrystal,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxElectric,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxGlacial,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxInferno,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxLight,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxMetal,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxOcean,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxShadow,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxWind,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 2,2,base,Set2,10.5,TFT2_LuxWoodland,Lux,7,850,55,0.85,4,25,20,80,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Caitlyn,Caitlyn,1,500,45,0.75,6,20,20,125,0,0.25,1.5
