set_label,set_number,set_stage,set_mutator,patch,trait_api_name,trait_name,breakpoints,desc_resolved,desc_raw,effects_json
Set 1,1,base,1,9.21,,Assassin,3|6|9,"Innate: At the start of combat, Assassins leap to the farthest enemy.Assassins gain bonus Critical Strike Damage and Chance.
(3) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance
(6) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance
(9) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance","Innate: At the start of combat, Assassins leap to the farthest enemy.<br><br>Assassins gain bonus Critical Strike Damage and Chance.<br><br><expandRow>(@MinUnits@) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance</expandRow><br>","[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""{268f634e}"": 75.0, ""{9f2eb1e2}"": 5.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""variables"": {""{268f634e}"": 150.0, ""{9f2eb1e2}"": 20.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""variables"": {""{268f634e}"": 225.0, ""{9f2eb1e2}"": 30.0}}]"
Set 1,1,base,1,9.21,,Blademaster,3|6|9,Blademaster Basic Attacks have a @ProcChance@% chance to trigger additional attacks against their target.These additional attacks deal damage like Basic Attacks and trigger on-hit effects.(@MinUnits@) One Additional Attack(@MinUnits@) Two Additional Attacks(@MinUnits@) Four Additional Attacks,Blademaster Basic Attacks have a @ProcChance@% chance to trigger additional attacks against their target.<br><br>These additional attacks deal damage like Basic Attacks and trigger on-hit effects.<br><br><row>(@MinUnits@) One Additional Attack</row><br><row>(@MinUnits@) Two Additional Attacks</row><br><row>(@MinUnits@) Four Additional Attacks</row>,"[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""ExtraAttacks"": 1.0, ""{b4a90a5d}"": 45.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""variables"": {""ExtraAttacks"": 2.0, ""{b4a90a5d}"": 45.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""variables"": {""ExtraAttacks"": 4.0, ""{b4a90a5d}"": 45.0}}]"
Set 1,1,base,1,9.21,,Brawler,2|4|6,"Brawlers gain bonus Maximum Health.
(2) 250 Bonus Health
(4) 500 Bonus Health
(6) 900 Bonus Health",Brawlers gain bonus Maximum Health.<br><br><expandRow>(@MinUnits@) @BonusHealth@ Bonus Health</expandRow><br>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""BonusHealth"": 250.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""variables"": {""BonusHealth"": 500.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""BonusHealth"": 900.0}}]"
Set 1,1,base,1,9.21,,Demon,2|4|6,"Basic Attacks from Demons have a @ManaDrainProcChance@% chance to reduce their target's Mana by @ManaDrainBurn@ and restore Mana to the Demon.
(2) @ManaDrainDrain@ Mana restored
(4) @ManaDrainDrain@ Mana restored
(6) @ManaDrainDrain@ Mana restored",Basic Attacks from Demons have a @ManaDrainProcChance@% chance to reduce their target's Mana by @ManaDrainBurn@ and restore Mana to the Demon.<br><br><expandRow>(@MinUnits@) @ManaDrainDrain@ Mana restored</expandRow><br>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""{0ebb5365}"": 20.0, ""{1a14aa8a}"": 15.0, ""{35bb0e0c}"": 40.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""variables"": {""{0ebb5365}"": 20.0, ""{1a14aa8a}"": 30.0, ""{35bb0e0c}"": 40.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""{0ebb5365}"": 20.0, ""{1a14aa8a}"": 45.0, ""{35bb0e0c}"": 40.0}}]"
Set 1,1,base,1,9.21,,Dragon,2,(@MinUnits@) Dragons gain @MagicReduction@% resistance to Magic Damage,<row>(@MinUnits@) Dragons gain @MagicReduction@% resistance to Magic Damage</row>,"[{""maxUnits"": 25000, ""minUnits"": 2, ""variables"": {""MagicReduction"": 75.0}}]"
Set 1,1,base,1,9.21,,Elementalist,3,"Innate: Elementalists gain double mana from Basic Attacks.(@MinUnits@) At the start of combat, summon a Golem with 2200 Health to fight alongside your allies","Innate: Elementalists gain double mana from Basic Attacks.<br><br><row>(@MinUnits@) At the start of combat, summon a Golem with 2200 Health to fight alongside your allies</row>","[{""maxUnits"": 25000, ""minUnits"": 3, ""variables"": {""HPMultiplier"": ""null"", ""SizeCoefficient"": ""null"", ""{558229df}"": ""null""}}]"
Set 1,1,base,1,9.21,,Exile,1,"(@MinUnits@) If an Exile has no adjacent allies at the start of combat, they gain a shield equal to @ShieldPercent@% of their maximum Health","<row>(@MinUnits@) If an Exile has no adjacent allies at the start of combat, they gain a shield equal to @ShieldPercent@% of their maximum Health</row>","[{""maxUnits"": 25000, ""minUnits"": 1, ""variables"": {""ShieldPercent"": 100.0}}]"
Set 1,1,base,1,9.21,,Glacial,2|4|6,"Basic Attacks from Glacials have a chance to stun their target for @StunDuration@ seconds.
(2) @ProcPercent@% Chance to Stun
(4) @ProcPercent@% Chance to Stun
(6) @ProcPercent@% Chance to Stun",Basic Attacks from Glacials have a chance to stun their target for @StunDuration@ seconds.<br><br><expandRow>(@MinUnits@) @ProcPercent@% Chance to Stun</expandRow><br>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""StunDuration"": 1.5, ""{6003afce}"": 20.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""variables"": {""StunDuration"": 1.5, ""{6003afce}"": 33.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""StunDuration"": 1.5, ""{6003afce}"": 50.0}}]"
Set 1,1,base,1,9.21,,Guardian,2,"(@MinUnits@) At the start of combat, Guardians grant +@Armor@ Armor to adjacent allies (this bonus can stack any number of times)","<row>(@MinUnits@) At the start of combat, Guardians grant +@Armor@ Armor to adjacent allies (this bonus can stack any number of times)</row>","[{""maxUnits"": 25000, ""minUnits"": 2, ""variables"": {""Armor"": 40.0}}]"
Set 1,1,base,1,9.21,,Gunslinger,2|4|6,Gunslinger Basic Attacks have a @ProcPercent@% chance to fire additional bullets at other enemies within range.These bullets deal damage like Basic Attacks and apply on-hit effects.(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies,Gunslinger Basic Attacks have a @ProcPercent@%  chance to fire additional bullets at other enemies within range.<br><br>These bullets deal damage like Basic Attacks and apply on-hit effects.<br><br><row>(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies</row><br><row>(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies</row><br><row>(@MinUnits@) Attack @ExtraTargetsHit@ extra enemies</row>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""{6003afce}"": 50.0, ""{df26ec52}"": 1.0, ""{f768e185}"": 1.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""variables"": {""{6003afce}"": 50.0, ""{df26ec52}"": 2.0, ""{f768e185}"": 2.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""{6003afce}"": 50.0, ""{df26ec52}"": 4.0, ""{f768e185}"": 3.0}}]"
