skill_id,unit_id,target,effect,chance,cast_time,damage,multiplier,name_key,desc_key
SK_HUM_ARCHER,U_HUM_ARCHER,SELF,HASTE,,,,,SKILL_HUM_ARCHER,SKILL_HUM_ARCHER_DESC
SK_HUM_MAGE,U_HUM_MAGE,BOSS,NUKE,,,,,SKILL_HUM_MAGE,SKILL_HUM_MAGE_DESC
SK_VK_BERSERKER,U_VK_BERSERKER,SELF,HASTE_STACK,,,,,SKILL_VK_BERSERKER,SKILL_VK_BERSERKER_DESC
SK_HUM_PRINCE,U_HUM_PRINCE,ALLY_RANDOM,BUFF_ATK,,,,,SKILL_HUM_PRINCE,SKILL_HUM_PRINCE_DESC
SK_VK_JARL,U_VK_JARL,ALLY_ADJACENT,MORALE,,,,,SKILL_VK_JARL,SKILL_VK_JARL_DESC
SK_DE_SWORD,U_DE_SWORD,BOSS,EXTRA_STRIKE,,,,,SKILL_DE_SWORD,SKILL_DE_SWORD_DESC
SK_DE_ARCHER,U_DE_ARCHER,BOSS,CRIT_AMP,,,,,SKILL_DE_ARCHER,SKILL_DE_ARCHER_DESC
SK_DE_ASSASSIN,U_DE_ASSASSIN,BOSS,VULNERABLE,,,,,SKILL_DE_ASSASSIN,SKILL_DE_ASSASSIN_DESC
SK_DE_WIZARD,U_DE_WIZARD,BOSS,NUKE,,,,,SKILL_DE_WIZARD,SKILL_DE_WIZARD_DESC
SK_UD_DREADKNIGHT,U_UD_DREADKNIGHT,BOSS,MAGIC_STRIKE,,,,,SKILL_UD_DREADKNIGHT,SKILL_UD_DREADKNIGHT_DESC
SK_UD_LICH,U_UD_LICH,BOSS,NUKE_FREEZE,,,,,SKILL_UD_LICH,SKILL_UD_LICH_DESC
SK_UD_NECROMANCER,U_UD_NECROMANCER,ALLY,CLEANSE,,,,,SKILL_UD_NECROMANCER,SKILL_UD_NECROMANCER_DESC
SK_UD_REAPER,U_UD_REAPER,BOSS,HEAVY_STRIKE,,,,,SKILL_UD_REAPER,SKILL_UD_REAPER_DESC
SK_UD_SKELARCHER,U_UD_SKELARCHER,BOSS,EXTRA_SHOT,,,,,SKILL_UD_SKELARCHER,SKILL_UD_SKELARCHER_DESC
SK_UD_BUTCHER,U_UD_BUTCHER,SELF,KILL_STACK_ATK,,,,,SKILL_UD_BUTCHER,SKILL_UD_BUTCHER_DESC
SK_BM_CAT,U_BM_CAT,BOSS,GOLD_STEAL,,,,,SKILL_BM_CAT,SKILL_BM_CAT_DESC
SK_BM_RABBIT,U_BM_RABBIT,BOSS,NUKE_RANDOM,,,,,SKILL_BM_RABBIT,SKILL_BM_RABBIT_DESC
SK_BM_DEER,U_BM_DEER,ALLY_RANDOM,BUFF_RANDOM,,,,,SKILL_BM_DEER,SKILL_BM_DEER_DESC
SK_BM_LION,U_BM_LION,,,,,,,SKILL_BM_LION,
SK_BM_PANDA,U_BM_PANDA,SELF,RANDOM_STACK,,,,,SKILL_BM_PANDA,SKILL_BM_PANDA_DESC
SK_BM_FOX,U_BM_FOX,BOSS,MAGIC_STRIKE_RANDOM,,,,,SKILL_BM_FOX,SKILL_BM_FOX_DESC
SK_DM_HIGH,U_DM_HIGH,BOSS,EMPOWER_STRIKE,,,,,SKILL_DM_HIGH,SKILL_DM_HIGH_DESC
SK_DM_FIREIMP,U_DM_FIREIMP,BOSS,CRIT_BONUS_FLAT,,,,,SKILL_DM_FIREIMP,SKILL_DM_FIREIMP_DESC
SK_DM_FIREKEEPER,U_DM_FIREKEEPER,BOSS,NUKE,,,,,SKILL_DM_FIREKEEPER,SKILL_DM_FIREKEEPER_DESC
SK_DM_DEMONESS,U_DM_DEMONESS,ALLY,PACT_BUFF,,,,,SKILL_DM_DEMONESS,SKILL_DM_DEMONESS_DESC
SK_DM_LORD,U_DM_LORD,ALLY,DEVOUR_STACK,,,,,SKILL_DM_LORD,SKILL_DM_LORD_DESC
