faction,collection,entry,type,role,usable,missing,variants,anim_own,anim_projectile,anim_effect,total_frames,blank_frames,dead_anims,canvas,sprite_px,size_tier,anims_own
수인족,MiniBeastmens,MiniBearWarrior,캐릭터,근접,완전,,outline+no_outline,7,0,0,50,0,,40x32,22x20,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniCatRobber,캐릭터,암살,완전,,outline+no_outline,7,1,1,49,1,,32x32,20x17,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniDeerDruid,캐릭터,지원,완전,,outline+no_outline,7,1,1,53,1,,32x32,15x20,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniFoxSwordsman,캐릭터,근접,완전,,outline+no_outline,6,0,0,31,0,,32x32,22x17,중형,Attack|Death|Hit|Idle|Jump|Walk
수인족,MiniBeastmens,MiniLionKnight,캐릭터,근접,완전,,outline+no_outline,7,0,0,45,0,,48x32,29x20,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniPandaWarrior,캐릭터,근접,완전,,outline+no_outline,7,0,0,52,0,,64x32,20x24,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniRabbitWizard,캐릭터,마법,완전,,outline+no_outline,7,1,1,52,1,,32x32,17x15,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
수인족,MiniBeastmens,MiniWolfPathfinder,캐릭터,원거리,완전,,outline+no_outline,6,1,1,45,1,,32x32,20x17,중형,Attack|Death|Hit|Idle|Jump|Walk
거대몬스터,MiniBigMonsters,MiniBlackDragon,캐릭터,특수,완전,,outline+no_outline,7,0,0,58,0,,96x32,39x30,초대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
거대몬스터,MiniBigMonsters,MiniDarkLord,캐릭터,리더,완전,,outline+no_outline,7,0,1,71,1,,80x32,25x25,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
거대몬스터,MiniBigMonsters,MiniGiantBear,캐릭터,근접,완전,,outline+no_outline,7,0,0,41,0,,40x32,26x17,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
거대몬스터,MiniBigMonsters,MiniHydra,캐릭터,특수,완전,,outline+no_outline,7,0,0,51,0,,64x32,47x29,초대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
거대몬스터,MiniBigMonsters,MiniOrcMutant,캐릭터,근접,완전,,outline+no_outline,7,0,1,66,1,,48x32,28x24,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
거대몬스터,MiniBigMonsters,MiniPhoenix,캐릭터,특수,완전,,outline+no_outline,7,1,2,69,2,,64x32,30x24,대형,Attack|Death|Hit|Idle|Revival|Spell|Walk
거대몬스터,MiniBigMonsters,MiniSkeletonDragon,캐릭터,특수,완전,,outline+no_outline,7,0,0,51,0,,96x32,46x28,초대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
거대몬스터,MiniBigMonsters,MiniYeti,캐릭터,근접,완전,,outline+no_outline,7,0,2,78,2,,56x32,23x26,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniBallista,캐릭터,원거리,부분,Hit,outline+no_outline,4,1,1,30,1,,32x32,25x16,대형,Attack|Death|Idle|Walk
다크엘프,MiniDarkElves,MiniDarkElfArcher,캐릭터,원거리,완전,,outline+no_outline,6,1,1,40,1,,32x32,16x14,중형,Attack|Death|Hit|Idle|Jump|Walk
다크엘프,MiniDarkElves,MiniDarkElfAssassin,캐릭터,암살,완전,,outline+no_outline,7,0,0,44,1,,32x32,16x14,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfGuard,캐릭터,근접,완전,,outline+no_outline,7,0,0,40,0,,32x32,15x16,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfRider,캐릭터,근접,완전,,outline+no_outline,6,0,0,35,0,,32x32,20x24,중형,Attack|Death|Hit|Idle|Jump|Walk
다크엘프,MiniDarkElves,MiniDarkElfSorceress,캐릭터,마법,완전,,outline+no_outline,8,0,2,68,2,,32x32,15x16,소형,Attack|Death|Death_2|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfSpellstealer,캐릭터,마법,완전,,outline+no_outline,7,0,0,43,0,,32x32,18x14,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfSwordsman,캐릭터,근접,완전,,outline+no_outline,7,0,0,46,0,,32x32,19x14,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfWarrior,캐릭터,근접,완전,,outline+no_outline,7,0,0,49,0,,32x32,15x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniDarkElfWizard,캐릭터,마법,완전,,outline+no_outline,7,0,0,50,0,,32x32,16x14,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
다크엘프,MiniDarkElves,MiniMagicCannon,캐릭터,원거리,부분,Hit,outline+no_outline,4,1,1,38,1,,32x32,23x16,대형,Attack|Death|Idle|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssAbyssExecutioner,캐릭터,근접,완전,,outline+no_outline,7,0,0,48,0,,64x32,25x21,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssElemental,캐릭터,특수,완전,,outline+no_outline,5,0,0,33,1,,32x32,19x22,중형,Attack|Death|Hit|Idle|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssGolem,캐릭터,특수,완전,,outline+no_outline,7,0,0,54,0,,48x48,23x26,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssGuardian,캐릭터,근접,완전,,outline+no_outline,7,0,0,39,0,,32x32,14x18,소형,Attack|Block|Death|Hit|Idle|Jump|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssHuntress,캐릭터,원거리,완전,,outline+no_outline,8,2,0,75,1,,32x32,14x17,소형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssKiller,캐릭터,근접,완전,,outline+no_outline,7,0,0,41,0,,32x32,17x14,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssKnight,캐릭터,근접,완전,,outline+no_outline,6,0,0,32,0,,32x32,13x15,소형,Attack|Death|Hit|Idle|Jump|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssMage,캐릭터,마법,완전,,outline+no_outline,7,2,0,56,2,,32x32,16x15,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssSorceress,캐릭터,마법,완전,,outline+no_outline,5,1,0,37,1,,32x32,14x16,소형,Attack|Death|Hit|Idle|Walk
