card_id,kind,grade,cells,name_key,desc_key,hist_key
TC_HAKIK,칸,일반,SIDE_COLS,TACTIC_HAKIK,TACTIC_HAKIK_DESC,TACTIC_HAKIK_HIST
TC_SANDAN,칸,일반,FRONT_ROW,TACTIC_SANDAN,TACTIC_SANDAN_DESC,TACTIC_SANDAN_HIST
TC_CROSSFIRE,칸,일반,CROSS,TACTIC_CROSSFIRE,TACTIC_CROSSFIRE_DESC,TACTIC_CROSSFIRE_HIST
TC_BAESU,칸,일반,BACK_ROW,TACTIC_BAESU,TACTIC_BAESU_DESC,TACTIC_BAESU_HIST
TC_JUNGANG,칸,희귀,MID_ROW,TACTIC_JUNGANG,TACTIC_JUNGANG_DESC,TACTIC_JUNGANG_HIST
TC_CANNAE,칸,희귀,RING,TACTIC_CANNAE,TACTIC_CANNAE_DESC,TACTIC_CANNAE_HIST
TC_SASUN,칸,희귀,DIAG,TACTIC_SASUN,,TACTIC_SASUN_HIST
TC_CHEONGYA,칸,레어,CORNERS,TACTIC_CHEONGYA,TACTIC_CHEONGYA_DESC,TACTIC_CHEONGYA_HIST
TC_GOLD_KILL,골드,일반,NONE,,TACTIC_GOLD_KILL_DESC,
TC_GOLD_TIME,골드,일반,NONE,,TACTIC_GOLD_TIME_DESC,
TC_GOLD_REROLL,골드,일반,NONE,,TACTIC_GOLD_REROLL_DESC,
TC_GOLD_WAVE,골드,희귀,NONE,,TACTIC_GOLD_WAVE_DESC,
TC_GOLD_SHIELD,골드,희귀,NONE,,TACTIC_GOLD_SHIELD_DESC,
TC_GOLD_HOARD,골드,레어,NONE,,TACTIC_GOLD_HOARD_DESC,
TC_RULE_DIAG,규칙,,ALL,,TACTIC_RULE_DIAG_DESC,
TC_RULE_CRITDMG,규칙,,ALL,,TACTIC_RULE_CRITDMG_DESC,
